Participant,Trailer,Type,Onset,Offset,Duration,W_score,A_score,F_score,NAcc_onset,AIns_onset,MPFC_onset,NAcc_middle,AIns_middle,MPFC_middle,NAcc_offset,AIns_offset,MPFC_offset
sub-03,rh6,Horror,12.0,42.0,30,3,3,2,0.03583260415016868,-0.031611143632786096,-0.026999566334252562,-0.0067201224891980035,-0.03581757417399603,0.08234647412261367,-0.13148611286324388,-0.1971201969633688,-0.13570254539489923
sub-03,uh1,Horror,60.0,90.0,30,4,2,3,-0.05252106027968499,0.24100181864322395,0.06199781939664086,0.13419901286682484,-0.020423901886698397,0.036542001025310786,0.00679545877973659,-0.17322437321870038,-0.028661387607844847
sub-03,rc2,Comedy,108.0,138.0,30,4,4,3,-0.16596679555811875,-0.08543083642261276,0.03515359267326244,-0.017695518937474022,-0.000494177679717317,0.20614893892793837,-0.1770015296821733,-0.01234616221078356,-0.2133730109601239
sub-03,rh2,Horror,152.0,182.0,30,2,3,2,0.20154734311065123,0.0626521895981697,0.34032016427622236,0.0006616485560954566,0.03176145424080494,-0.050950816512809693,-0.13811208951334658,-0.19415908359317258,-0.2125407580122851
sub-03,rh1,Horror,196.0,226.0,30,3,2,3,0.05334090299420262,0.05819529580214463,0.33546685491047323,-0.03321363948544328,-0.08819749461161693,-0.2649970910032874,-0.15681704827208087,0.11434182174773895,-0.10211043343157296
sub-03,rc9,Comedy,244.0,274.0,30,2,2,1,-0.02553820529848232,-0.06724566252242462,-0.0423420001266714,0.10501749784872898,0.15710295803956037,-0.0494220090607397,0.006397232989443223,-0.032249695130169044,0.05391939620324641
sub-03,uc4,Comedy,288.0,318.0,30,2,2,1,0.008835044530632117,-0.031074991763679116,0.08462539462264944,-0.11142454623648954,0.020639583797305572,-0.04133470239590128,-0.07212337352653816,-0.09464592272679008,0.07364787092423956
sub-03,rh9,Horror,332.0,362.0,30,3,3,3,-0.13762389948220016,0.04156808973625196,0.023522677741130826,0.13519569503900983,0.10635702920720047,0.31552498049765554,-0.04391460952780689,-0.10897495522434357,0.17367913482301522
sub-03,uh2,Horror,376.0,406.0,30,4,3,4,0.05426130129626226,-0.048244167488258445,0.13512074709695748,-0.03380441304518781,-0.04072415945402784,0.08362631567836414,0.02511962670519514,-0.02044551770471506,-0.18133764497775964
sub-03,rc6,Comedy,420.0,450.0,30,2,2,1,-0.018481782885127016,-0.07013489441622034,0.09294423289443333,0.027876040146536756,0.1808674258441888,-0.2236811578443783,-0.0510474777763006,-0.07650805368601132,-0.2214163859798904
